attack_type,mu,number_of_si_scales,di_prob,di_pad_amount,di_pad_value,ti_kernel_size,feature_attack,depth,White-box SR,Transfer SR,Final Score
MNDTS,1.0,5,0.8,28,0,5,True,layer3,78.6,67.42500000000001,71.89500000000001
MNDTS,1.0,10,0.8,28,0,5,True,layer3,81.2,68.3625,73.4975
MNDTS,1.0,5,0.8,28,0,5,True,layer4,84.4,67.4375,74.2225
MNDTS,1.0,5,0.8,31,0,5,True,layer3,81.2,67.2625,72.8375
MNDTS,1.0,10,0.8,28,0,5,True,layer4,82.3,68.4,73.96000000000001
MNDTS,1.0,5,0.8,31,0,5,True,layer4,83.6,68.5125,74.5475
MNDTS,1.0,7,0.8,28,0,5,True,layer3,80.0,68.3,72.97999999999999
MNDTS,1.0,10,0.8,31,0,5,True,layer3,80.3,67.7,72.74
MNDTS,1.0,5,0.8,34,0,5,True,layer3,83.4,68.375,74.385
MNDTS,1.0,7,0.8,28,0,5,True,layer4,82.5,67.0,73.19999999999999
MNDTS,1.0,5,0.8,34,0,5,True,layer4,82.6,69.25,74.59
MNDTS,1.0,10,0.8,31,0,5,True,layer4,83.5,68.19999999999999,74.32
MNDTS,1.0,5,1.0,28,0,5,True,layer3,77.2,66.8375,70.9825
MNDTS,1.0,10,0.8,34,0,5,True,layer3,80.6,67.08749999999999,72.49249999999999
MNDTS,1.0,7,0.8,31,0,5,True,layer3,81.2,67.55,73.00999999999999
MNDTS,1.0,5,1.0,28,0,5,True,layer4,77.9,67.7875,71.8325
MNDTS,1.0,10,0.8,34,0,5,True,layer4,82.9,68.27499999999999,74.125
MNDTS,1.0,7,0.8,31,0,5,True,layer4,81.5,67.9125,73.3475
MNDTS,1.0,5,1.0,31,0,5,True,layer3,76.6,66.23750000000001,70.38250000000001
MNDTS,1.0,10,1.0,28,0,5,True,layer3,76.2,66.30000000000001,70.26000000000002
MNDTS,1.0,7,0.8,34,0,5,True,layer3,80.5,67.75,72.85
MNDTS,1.0,5,1.0,31,0,5,True,layer4,79.1,66.94999999999999,71.81
MNDTS,1.0,10,1.0,28,0,5,True,layer4,77.6,66.8125,71.1275
MNDTS,1.0,7,0.8,34,0,5,True,layer4,82.5,67.625,73.57499999999999
MNDTS,1.0,5,1.0,34,0,5,True,layer3,76.2,66.8625,70.5975
MNDTS,1.0,3,0.7,31,0,5,True,layer3,85.5,70.175,76.305
MNDTS,1.0,5,0.7,31,0,5,True,layer3,83.1,68.375,74.265
MNDTS,1.0,3,0.7,31,0,5,True,layer4,86.7,68.025,75.495
MNDTS,1.0,3,0.7,31,0,5,True,layer3,84.4,69.97500000000001,75.745
MNDTS,1.0,5,0.7,31,0,5,True,layer3,83.6,68.075,74.285
MNDTS,1.0,3,0.7,31,0,5,True,layer4,88.2,68.675,76.485
MNDTS,1.0,5,0.7,31,0,5,True,layer4,85.0,68.2,74.92
MNDTS,1.0,3,0.7,31,0,7,True,layer3,78.8,64.35,70.13
MNDTS,1.0,3,0.7,31,0,7,True,layer4,82.2,64.1125,71.3475
MNDTS,1.0,5,0.7,31,0,7,True,layer3,76.1,63.45,68.50999999999999
MNDTS,1.0,3,0.7,34,0,5,True,layer3,85.5,68.8875,75.5325
MNDTS,1.0,5,0.7,31,0,7,True,layer4,79.0,63.8,69.88
MNDTS,1.0,3,0.7,34,0,5,True,layer4,85.4,69.15,75.65
MNDTS,1.0,2,0.5,31,0,3,True,layer3,94.9,72.2875,81.3325
MNDTS,1.0,4,0.5,31,0,3,True,layer3,91.9,71.3875,79.5925
MNDTS,1.0,3,0.5,31,0,3,True,layer3,94.1,72.325,81.035
MNDTS,1.0,2,0.5,31,0,3,True,layer4,93.5,71.725,80.435
MNDTS,1.0,2,0.3,31,0,1,True,layer3,96.8,71.25,81.47
MNDTS,1.0,3,0.3,31,0,1,True,layer3,95.3,71.15,80.81
MNDTS,1.0,2,0.3,31,0,3,True,layer3,96.5,71.46249999999999,81.47749999999999
MNDTS,1.0,3,0.3,31,0,3,True,layer3,95.7,71.925,81.435
MNDTS,1.0,2,0.4,31,0,1,True,layer3,95.4,72.25000000000001,81.51000000000002
MNDTS,1.0,3,0.4,31,0,1,True,layer3,94.7,72.1875,81.1925
MNDTS,1.0,2,0.4,31,0,3,True,layer3,96.2,71.175,81.185
MNDTS,1.0,1,0.3,28,0,1,True,layer3,96.9,71.275,81.525
MNDTS,1.0,2,0.3,28,0,1,True,layer3,96.0,71.8125,81.48750000000001
MNDTS,1.0,1,0.3,28,0,1,True,layer4,95.9,71.1,81.02000000000001
MNDTS,1.0,2,0.3,28,0,1,True,layer4,94.2,69.125,79.155
MNDTS,1.0,1,0.3,28,0,3,True,layer3,96.6,72.0125,81.8475
MNDTS,1.0,2,0.3,28,0,3,True,layer3,96.4,71.1375,81.2425
MNDTS,1.0,1,0.3,28,0,3,True,layer4,96.2,70.725,80.91499999999999
MNDTS,1.0,2,0.3,28,0,3,True,layer4,94.4,68.575,78.905
MNDTS,1.0,1,0.3,31,0,1,True,layer3,96.7,71.1625,81.3775
MNDTS,1.0,1,0.3,31,0,1,True,layer4,96.4,71.3375,81.36250000000001
MNDTS,1.0,2,0.3,31,0,1,True,layer3,95.9,70.9875,80.9525
MNDTS,1.0,1,0.3,31,0,3,True,layer3,96.8,71.25,81.47
MNDTS,1.0,2,0.3,31,0,1,True,layer4,94.4,70.72500000000001,80.19500000000001
MNDTS,1.0,1,0.3,31,0,3,True,layer4,95.3,68.775,79.38499999999999
MNDTS,1.0,2,0.3,31,0,3,True,layer3,95.8,70.9625,80.89750000000001
MNDTS,1.0,1,0.3,34,0,1,True,layer3,97.1,71.0375,81.4625
MNDTS,1.0,2,0.3,31,0,3,True,layer4,94.3,68.6875,78.9325
MNDTS,1.0,1,0.3,34,0,1,True,layer4,95.0,68.625,79.175
MNDTS,1.0,2,0.3,34,0,1,True,layer3,95.4,70.75,80.61
MNDTS,1.0,1,0.3,34,0,3,True,layer3,96.6,70.7125,81.0675
MNDTS,1.0,2,0.3,34,0,1,True,layer4,93.1,70.5,79.53999999999999
MNDTS,1.0,1,0.3,34,0,3,True,layer4,94.3,68.01249999999999,78.52749999999999
MNDTS,1.0,1,0.4,28,0,1,True,layer3,96.5,72.575,82.14500000000001
MNDTS,1.0,2,0.3,34,0,3,True,layer3,95.7,70.5125,80.5875
MNDTS,1.0,1,0.4,28,0,1,True,layer4,95.8,73.1625,82.2175
MNDTS,1.0,2,0.3,34,0,3,True,layer4,94.8,70.1125,79.9875
MNDTS,1.0,1,0.4,28,0,3,True,layer3,96.5,72.025,81.815
MNDTS,1.0,2,0.4,28,0,1,True,layer3,96.0,71.4625,81.2775
MNDTS,1.0,1,0.4,28,0,3,True,layer4,93.4,70.5875,79.7125
MNDTS,1.0,2,0.4,28,0,1,True,layer4,92.8,68.575,78.265
MNDTS,1.0,1,0.4,31,0,1,True,layer3,96.5,71.05,81.22999999999999
MNDTS,1.0,2,0.4,28,0,3,True,layer3,94.6,71.0625,80.47749999999999
MNDTS,1.0,1,0.4,31,0,1,True,layer4,96.5,72.6125,82.16749999999999
MNDTS,1.0,2,0.4,28,0,3,True,layer4,93.6,69.4,79.08
MNDTS,1.0,1,0.4,31,0,3,True,layer3,95.9,72.175,81.665
MNDTS,1.0,1,0.4,31,0,3,True,layer4,95.9,73.75,82.61000000000001
MNDTS,1.0,2,0.4,31,0,1,True,layer3,95.8,72.4,81.76
MNDTS,1.0,1,0.4,34,0,1,True,layer3,96.1,71.95,81.61
MNDTS,1.0,2,0.4,31,0,1,True,layer4,93.5,70.0625,79.4375
MNDTS,1.0,1,0.4,34,0,1,True,layer4,96.2,72.225,81.815
MNDTS,1.0,2,0.4,31,0,3,True,layer3,95.6,71.80000000000001,81.32000000000001
MNDTS,1.0,1,0.4,34,0,3,True,layer3,96.9,72.01249999999999,81.9675
MNDTS,1.0,2,0.4,31,0,3,True,layer4,93.4,71.2,80.08000000000001
MNDTS,1.0,1,0.4,34,0,3,True,layer4,96.1,72.8,82.12
MNDTS,1.0,2,0.4,34,0,1,True,layer3,95.3,72.6375,81.7025
MNDTS,1.0,2,0.3,28,0,1,True,layer3,96.2,72.05000000000001,81.71000000000001
MNDTS,1.0,2,0.4,34,0,1,True,layer4,92.5,70.8875,79.5325
MNDTS,1.0,2,0.3,28,0,1,True,layer4,93.4,69.725,79.195
MNDTS,1.0,2,0.4,34,0,3,True,layer3,95.6,71.375,81.065
MNDTS,1.0,2,0.3,28,0,3,True,layer3,96.1,71.4375,81.3025
MNDTS,1.0,2,0.4,34,0,3,True,layer4,93.5,70.5625,79.7375
MNDTS,1.0,2,0.3,28,0,3,True,layer4,94.3,70.4625,79.9975
MNDTS,1.0,2,0.3,31,0,1,True,layer3,96.2,69.95,80.45
MNDTS,1.0,2,0.3,31,0,1,True,layer4,93.3,69.91250000000001,79.26750000000001
MNDTS,1.0,2,0.3,31,0,3,True,layer3,95.6,70.875,80.765
MNDTS,1.0,2,0.3,31,0,3,True,layer4,93.5,69.4375,79.0625
MNDTS,1.0,2,0.3,34,0,1,True,layer3,96.2,72.325,81.875
MNDTS,1.0,2,0.3,34,0,1,True,layer4,93.3,68.71249999999999,78.54749999999999
MNDTS,1.0,2,0.3,34,0,3,True,layer3,96.0,71.1125,81.0675
MNDTS,1.0,2,0.3,34,0,3,True,layer4,94.4,69.9125,79.70750000000001
MNDTS,1.0,2,0.4,28,0,1,True,layer3,96.0,72.1625,81.69749999999999
MNDTS,1.0,2,0.4,28,0,1,True,layer4,93.5,70.6625,79.79749999999999
MNDTS,1.0,2,0.4,28,0,3,True,layer3,96.5,72.0875,81.8525
MNDTS,1.0,2,0.4,28,0,3,True,layer4,93.2,70.775,79.745
MNDTS,1.0,2,0.4,31,0,1,True,layer3,95.3,72.0,81.32
MNDTS,0.9,1,0.4,28,0,1,True,layer4,94.0,70.325,79.795
MNDTS,1.1,1,0.4,28,0,1,True,layer4,74.9,55.2125,63.087500000000006
MNDTS,0.9,1,0.4,28,0,1,True,layer3,96.7,72.825,82.375
MNDTS,0.95,1,0.4,28,0,1,True,layer4,95.5,70.75,80.65
MNDTS,0.9,1,0.4,28,0,3,True,layer4,93.4,68.19999999999999,78.28
MNDTS,0.9,1,0.4,28,0,3,True,layer3,95.6,71.05,80.87
MNDTS,0.95,1,0.4,28,0,1,True,layer3,96.3,70.775,80.98500000000001
MNDTS,0.9,1,0.4,31,0,1,True,layer4,93.8,69.975,79.505
MNDTS,0.9,1,0.4,31,0,1,True,layer3,96.0,71.4375,81.2625
MNDTS,0.9,1,0.4,31,0,3,True,layer4,94.2,69.0125,79.0875
MNDTS,0.9,1,0.4,31,0,3,True,layer3,96.5,71.5,81.5
MNDTS,0.9,1,0.4,34,0,1,True,layer4,93.0,68.46249999999999,78.2775
MNDTS,0.9,1,0.4,34,0,1,True,layer3,96.9,71.3625,81.5775
MNDTS,0.9,1,0.4,34,0,3,True,layer4,94.1,68.2875,78.6125
MNDTS,0.9,1,0.4,34,0,3,True,layer3,96.5,72.77499999999999,82.26499999999999
MNDTS,1.0,1,0.4,28,0,1,True,layer4,95.7,73.6,82.44
MNDTS,1.0,1,0.4,28,0,1,True,layer3,96.6,71.8625,81.7575
MNDTS,1.0,1,0.4,28,0,3,True,layer4,95.6,70.875,80.765
MNDTS,1.0,1,0.4,28,0,3,True,layer3,95.4,72.76249999999999,81.8175
MNDTS,1.0,1,0.4,31,0,1,True,layer4,95.8,73.6125,82.4875
MNDTS,1.0,1,0.4,31,0,1,True,layer3,96.1,71.9,81.58
MNDTS,1.0,1,0.4,31,0,3,True,layer4,94.9,71.73750000000001,81.0025
MNDTS,1.0,1,0.4,31,0,3,True,layer3,96.4,72.4625,82.0375
MNDTS,1.0,1,0.4,34,0,1,True,layer4,94.7,70.975,80.465
MNDTS,1.0,1,0.4,34,0,1,True,layer3,96.7,72.4875,82.17250000000001
MNDTS,1.0,1,0.35,28,0,1,True,layer4,97.0,73.64999999999999,82.99
MNDTS,1.0,1,0.35,30,0,1,True,layer4,93.2,70.7875,79.7525
MNDTS,0.9,1,0.35,28,0,1,True,layer4,93.8,66.925,77.675
MNDTS,0.9,1,0.35,30,0,1,True,layer4,94.6,67.575,78.38499999999999
MNDTS,0.9,1,0.35,28,0,3,True,layer4,93.4,66.375,77.185
MNDTS,0.9,1,0.35,30,0,3,True,layer4,91.1,65.025,75.455
MNDTS,0.9,1,0.35,29,0,1,True,layer4,93.3,67.6,77.88
MNDTS,0.9,1,0.35,31,0,1,True,layer4,94.3,68.83749999999999,79.0225
MNDTS,0.9,1,0.35,29,0,3,True,layer4,93.9,68.6,78.72
MNDTS,0.9,1,0.35,31,0,3,True,layer4,93.2,68.3375,78.2825
MNDTS,0.9,1,0.4,28,0,1,True,layer4,95.9,71.36250000000001,81.17750000000001
MNDTS,0.9,1,0.4,30,0,1,True,layer4,93.0,68.3875,78.2325
MNDTS,0.9,1,0.4,28,0,3,True,layer4,92.2,66.3375,76.6825
MNDTS,0.9,1,0.4,30,0,3,True,layer4,91.6,66.9,76.78
MNDTS,0.9,1,0.4,29,0,1,True,layer4,94.3,69.05,79.15
MNDTS,0.9,1,0.4,31,0,1,True,layer4,92.8,66.3875,76.9525
MNDTS,0.9,1,0.4,29,0,3,True,layer4,93.4,69.56249999999999,79.0975
MNDTS,0.9,1,0.4,31,0,3,True,layer4,94.3,69.825,79.61500000000001
MNDTS,0.9,1,0.45,28,0,1,True,layer4,90.8,67.7875,76.99249999999999
MNDTS,0.9,1,0.45,30,0,1,True,layer4,92.5,70.73750000000001,79.4425
